Gene_Symbol,Sources,CGCv80
REL,MutsigCV,True
RERE,TUSON,False
RFC4,MutsigCV,False
RHEB,20/20+;TUSON,False
RHOA,20/20+;MutsigCV;TUSON,True
RIMS2,TUSON,False
RIT1,MutsigCV,False
RNF111,20/20+,False
RNF43,20/20+,True
RPL11,20/20+,False
RPL5,20/20+;TUSON,True
RQCD1,20/20+,False
RRAS2,TUSON,False
RUNX1,20/20+;TUSON,True
RXRA,TUSON,False
SARM1,MutsigCV,False
SCAF11,TUSON,False
SEC22A,20/20+,False
SENP3,20/20+,False
SENP8,20/20+,False
SETD1B,TUSON,False
SETD2,20/20+;MutsigCV;TUSON,True
SF3A3,20/20+,False
SF3B1,20/20+;TUSON,True
SFPQ,TUSON,True
SIN3A,20/20+,False
SKAP2,20/20+,False
SMAD2,20/20+;MutsigCV;TUSON,True
SMAD3,20/20+,True
SMAD4,20/20+;MutsigCV;TUSON,True
SMARCA4,20/20+;TUSON,True
SMARCB1,20/20+;MutsigCV;TUSON,True
SMARCC2,TUSON,False
SNCB,20/20+,False
SOS1,20/20+,False
SOX4,20/20+,False
SOX9,20/20+;TUSON,False
SP3,20/20+,False
SPEN,TUSON,True
SPOP,20/20+;MutsigCV;TUSON,True
SPSB2,TUSON,False
STAG2,20/20+;MutsigCV;TUSON,True
STK11,20/20+;MutsigCV;TUSON,True
STK31,MutsigCV,False
SUFU,MutsigCV,True
TAF1A,TUSON,False
TARDBP,20/20+,False
TAS2R30,MutsigCV,False
TBL1XR1,MutsigCV;TUSON,True
TBX3,TUSON,True
TCF12,TUSON,True
TCF7L2,20/20+;TUSON,True
TET2,MutsigCV;TUSON,True
TEX11,TUSON,False
TFDP2,TUSON,False
TGFBR2,20/20+;MutsigCV;TUSON,True
THRAP3,TUSON,True
TM9SF1,MutsigCV,False
TMCO2,MutsigCV,False
TMED10,MutsigCV,False
TMEM107,MutsigCV,False
TMEM30A,20/20+,False
TMPO,TUSON,False
TNFRSF9,MutsigCV,False
TNRC6B,20/20+;TUSON,False
TP53,20/20+;MutsigCV;TUSON,True
TP53BP1,20/20+;TUSON,False
TRAF3,20/20+;TUSON,False
TRIM8,MutsigCV,False
TRIP12,20/20+;TUSON,False
TSC1,20/20+,True
TTK,20/20+,False
TTR,20/20+;TUSON,False
TUBA3C,20/20+,False
U2AF1,20/20+;MutsigCV;TUSON,True
UBE2D3,20/20+,False
UBR5,TUSON,True
UNC13C,TUSON,False
UNKL,MutsigCV,False
UPP1,MutsigCV,False
USO1,MutsigCV,False
USP28,20/20+;TUSON,False
USP9X,20/20+;TUSON,False
VHL,20/20+;MutsigCV;TUSON,True
VN1R2,MutsigCV,False
VPS33B,20/20+,False
WAC,20/20+,False
WDR33,TUSON,False
WDR47,MutsigCV;TUSON,False
WT1,TUSON,True
WWP1,TUSON,False
XPO1,20/20+;TUSON,True
YOD1,MutsigCV,False
ZC3H13,20/20+;TUSON,False
ZDHHC4,TUSON,False
ZFHX3,TUSON,True
ZFP36L1,20/20+;TUSON,False
ZFP36L2,TUSON,False
ZGRF1,TUSON,False
ZMYM3,TUSON,False
ZMYM4,20/20+,False
ZNF234,TUSON,False
ZNF268,MutsigCV,False
ZNF292,TUSON,False
ZNF318,20/20+;TUSON,False
ZNF345,MutsigCV,False
ZNF600,TUSON,False
ZNF750,TUSON,False
ZNF800,TUSON,False
